Parameters;;;;;;;;;;;;;;;
Initial fare for parcel (beta);35000;;Rata2 kecepatan mobil (km/jam);25;;Jam Mulai;8.00;;;;;;;;
Parcel fare per kilometer (gamma2);9000;;Jumlah Mobil;2;;Jam Berakhir;17.00;;;;;;;;
Cost per kilometer for delivering request (gamma3);8000;;Jumlah Penumpang;16;;;;;;;;;;;
Discount factor / penalty for exceeding direct delivery time of passangers. (gamma4);35000;;Jumlah Barang;0;;;;;;;;;;;
;;;;;;;;;;;;;;;
Type;Initial / Pickup Position;;Destination Position;;Duration;Time Window;;;;;;;;;
;X;Y;X;Y;;Bottom;Up;;;;;;;;
Car;0;0;0;0;;;;;;;;;;;
Passenger;3.7;11.4;-7.9;-17.1;1.230811115;15.12;;;;;;;;;
Passenger;5.2;23.4;-13;4.6;1.046655626;0.00;;;;;;;;;
Passenger;-16.1;23.9;2.5;3.2;1.113157671;;;;;;;;;;
Passenger;15.3;-17.5;25;20.4;1.564864211;;;;;;;;;;
Passenger;14.4;18.8;-3.6;-18.9;1.671066725;;;;;;;;;;
Passenger;-5.6;1.7;22.5;-10.2;1.2206359;;;;;;;;;;
Passenger;-0.7;-22.3;8.9;9.2;1.317215244;;;;;;;;;;
Passenger;4.4;-17.1;2.9;21.7;1.553159361;;;;;;;;;;
Car;3.7;12.5;;;;;;;;;;;;;
Passenger;-17.4;18.4;5.8;8.7;;;;;;;;;;;
Passenger;20.1;15.1;-11.8;-9.5;;;;;;;;;;;
Passenger;-14.5;-20;11.5;-18;;;;;;;;;;;
Passenger;14.7;-11.4;-16.8;-18;;;;;;;;;;;
Passenger;21.8;-5.1;-15.5;17.8;;;;;;;;;;;
Passenger;15.6;4.6;8.3;-8.3;;;;;;;;;;;
Passenger;3.9;-18.9;11.1;-18.2;;;;;;;;;;;
Passenger;-8.7;11.4;2.6;0.2;;;;;;;;;;;
