Parameters;;;;;;;;;;;;;;;
Initial fare for parcel (beta);35000;;Rata2 kecepatan mobil (km/jam);25;;Jam Mulai;08:00;;;;;;;;
Parcel fare per kilometer (gamma2);9000;;Jumlah Route;1;;Jam Berakhir;17:00;;;;;;;;
Cost per kilometer for delivering request (gamma3);8000;;Jumlah Penumpang;2;;;;;;;;;;;
Discount factor / penalty for exceeding direct delivery time of passangers. (gamma4);35000;;Jumlah Barang;1;;;;;;;;;;;
;;;;;;;;;;;;;;;
Type (StartRoute/Passenger/Freight);Initial / Pickup Position;;Destination Position;;Duration;Time Window;;;;;;;;;
;X;Y;X;Y;;Bottom;Up;;;;;;;;
Start Route;;;;;;;;;;;;;;;
Passenger;3.7;11.4;-7.9;-17.1;1.230811115;;;;;;;;;;
Passenger;5.2;23.4;-13;4.6;1.046655626;;;;;;;;;;
Freight;8;-8;-9.4;-5;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
